ParcelID,Treat,Addr1,Addr2,Improvement,LandValue,Acres,GA25,PA25,NT_Loss,Opt21_Loss,Mean_NT,Min,Med,Opt,NT_Cat,Min_Cat,Med_Cat,Opt_Cat,HVRA,TreatmentCost,Ntbase
2814,NT,Search for your address here,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416,NT,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.1,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.6,0,11534.02071
1416,Min,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.1,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,99574.1142,11534.02071
1416,Mid,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.1,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,149361.1713,11534.02071
1416,Opt,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.1,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,209105.6398,11534.02071
1416,NT,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.2,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.6,0,11534.02071
1416,Min,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.2,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,99574.1142,11534.02071
1416,Mid,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.2,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,149361.1713,11534.02071
1416,Opt,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.2,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,209105.6398,11534.02071
1416,NT,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.3,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.6,0,11534.02071
1416,Min,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.3,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,99574.1142,11534.02071
1416,Mid,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.3,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,149361.1713,11534.02071
1416,Opt,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.3,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,209105.6398,11534.02071
1416,NT,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.4,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.6,0,11534.02071
1416,Min,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.4,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,99574.1142,11534.02071
1416,Mid,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.4,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,149361.1713,11534.02071
1416,Opt,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.4,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,209105.6398,11534.02071
1416,NT,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.5,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.6,0,11534.02071
1416,Min,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.5,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,99574.1142,11534.02071
1416,Mid,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.5,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,149361.1713,11534.02071
1416,Opt,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.5,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,209105.6398,11534.02071
1416,NT,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.6,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.6,0,11534.02071
1416,Min,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.6,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,99574.1142,11534.02071
1416,Mid,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.6,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,149361.1713,11534.02071
1416,Opt,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.6,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,209105.6398,11534.02071
1416,NT,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.7,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.6,0,11534.02071
1416,Min,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.7,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,99574.1142,11534.02071
1416,Mid,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.7,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,149361.1713,11534.02071
1416,Opt,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.7,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,209105.6398,11534.02071
1416,NT,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.8,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.6,0,11534.02071
1416,Min,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.8,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,99574.1142,11534.02071
1416,Mid,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.8,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,149361.1713,11534.02071
1416,Opt,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.8,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,209105.6398,11534.02071
1416,NT,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.9,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.6,0,11534.02071
1416,Min,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.9,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,99574.1142,11534.02071
1416,Mid,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.9,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,149361.1713,11534.02071
1416,Opt,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,0.9,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,209105.6398,11534.02071
1416,NT,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,1,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.6,0,11534.02071
1416,Min,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,1,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,99574.1142,11534.02071
1416,Mid,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,1,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,149361.1713,11534.02071
1416,Opt,30500 WATTS VALLEY RD,TOLLHOUSE CA 93667,33633,59780,120.695896,1,0,0.6,,4.183550879,3.283550879,3.183550879,3.083550879,4,3,3,3,0.4,209105.6398,11534.02071
1403,NT,36133 TOLLHOUSE RD,SHAVER LAKE CA 93664,57906,22066,5.035487,0.1,0.183633761,1,0.2,8.870825091,7.970825091,7.870825091,7.770825091,6,6,6,6,1,0,16067.74128
1403,Min,36133 TOLLHOUSE RD,SHAVER LAKE CA 93664,57906,22066,5.035487,0.1,0.183633761,0.9,0.2,8.870825091,7.970825091,7.870825091,7.770825091,6,6,6,6,1,4154.276775,16067.74128
1403,Mid,36133 TOLLHOUSE RD,SHAVER LAKE CA 93664,57906,22066,5.035487,0.1,0.183633761,0.9,0.2,8.870825091,7.970825091,7.870825091,7.770825091,6,6,6,6,1,6231.415163,16067.74128
1403,Opt,36133 TOLLHOUSE RD,SHAVER LAKE CA 93664,57906,22066,5.035487,0.1,0.183633761,0.9,0.2,8.870825091,7.970825091,7.870825091,7.770825091,6,6,6,6,1,8723.981228,16067.74128
